name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,best_methods
abalone,'Sex',4177.0,0.30426250000000005,0.36648749999999997,1.1812749999999999,0.001,0.6651,1.0959625,3.0547375,1.0,0.0,,,1.0,1.0,SVC,"['impute_logistic_regression', 'impute_random_forest', 'impute_kproto', 'impute_mode', 'impute_standard']"
abalone,'Sex',4177.0,0.25275000000000003,0.365325,1.1712250000000002,0.001,0.6652374999999999,1.096175,2.3250625,1.0,0.0,,,1.0,1.0,DecisionTree,"['impute_random_forest', 'impute_logistic_regression', 'impute_kproto', 'impute_mode', 'impute_knn', 'impute_mice']"
abalone,'Sex',4177.0,0.25275000000000003,0.365325,1.1712250000000002,0.001,0.6652374999999999,1.096175,2.3250625,1.0,0.0,,,1.0,1.0,LogisticRegression,"['impute_logistic_regression', 'impute_standard', 'impute_random_forest', 'impute_knn', 'impute_mice', 'impute_random']"
abalone,'Sex',4177.0,0.25275000000000003,0.365325,1.1712250000000002,0.001,0.6652374999999999,1.096175,2.3250625,1.0,0.0,,,1.0,1.0,KNN,"['impute_random_forest', 'impute_logistic_regression', 'impute_standard', 'impute_mice', 'impute_knn', 'impute_kproto', 'impute_mode']"
abalone,'Sex',4177.0,0.25275000000000003,0.365325,1.1712250000000002,0.001,0.6652374999999999,1.096175,2.3250625,1.0,0.0,,,1.0,1.0,RandomForest,"['impute_logistic_regression', 'impute_random_forest', 'impute_mode', 'impute_kproto', 'impute_standard', 'impute_knn', 'impute_mice']"
abalone,'Sex',4177.0,0.25275000000000003,0.365325,1.1712250000000002,0.001,0.6652374999999999,1.096175,2.3250625,1.0,0.0,,,1.0,1.0,AdaBoost,"['impute_random', 'impute_kproto', 'impute_random_forest', 'impute_logistic_regression', 'impute_mice', 'impute_knn', 'impute_mode', 'impute_standard']"
abalone,'Sex',4177.0,0.2482375,0.36729999999999996,1.179325,0.0009624999999999999,0.6650750000000001,1.0959375,2.5381,1.0,0.0,,,1.0,1.0,SVC,"['impute_standard', 'impute_random_forest', 'impute_logistic_regression', 'impute_random', 'impute_knn', 'impute_kproto', 'impute_mode', 'impute_mice']"
abalone,'Sex',4177.0,0.202125,0.36585,1.1640375,0.0008999999999999999,0.6652375,1.0961874999999999,4.4476875,1.0,0.0,,,1.0,1.0,DecisionTree,"['impute_random_forest', 'impute_logistic_regression', 'impute_random', 'impute_mice', 'impute_knn', 'impute_kproto', 'impute_mode', 'impute_standard']"
abalone,'Sex',4177.0,0.202125,0.36585,1.1640375,0.0008999999999999999,0.6652375,1.0961874999999999,4.4476875,1.0,0.0,,,1.0,1.0,LogisticRegression,"['impute_logistic_regression', 'impute_random_forest', 'impute_standard', 'impute_random', 'impute_knn', 'impute_mice', 'impute_kproto', 'impute_mode']"
abalone,'Sex',4177.0,0.202125,0.36585,1.1640375,0.0008999999999999999,0.6652375,1.0961874999999999,4.4476875,1.0,0.0,,,1.0,1.0,KNN,"['impute_logistic_regression', 'impute_random', 'impute_random_forest', 'impute_kproto', 'impute_mode', 'impute_standard']"
abalone,'Sex',4177.0,0.202125,0.36585,1.1640375,0.0008999999999999999,0.6652375,1.0961874999999999,4.4476875,1.0,0.0,,,1.0,1.0,RandomForest,"['impute_logistic_regression', 'impute_random_forest', 'impute_mice', 'impute_mode', 'impute_knn', 'impute_kproto']"
abalone,'Sex',4177.0,0.202125,0.36585,1.1640375,0.0008999999999999999,0.6652375,1.0961874999999999,4.4476875,1.0,0.0,,,1.0,1.0,AdaBoost,"['impute_kproto', 'impute_random_forest', 'impute_logistic_regression', 'impute_mice', 'impute_knn', 'impute_random', 'impute_mode', 'impute_standard']"
abalone,'Sex',4177.0,0.20381249999999998,0.3659875,1.1726874999999999,0.0008999999999999999,0.6651874999999999,1.096125,5.6155125,1.0,0.0,,,1.0,1.0,SVC,"['impute_logistic_regression', 'impute_random_forest', 'impute_standard', 'impute_kproto', 'impute_mode']"
