name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,impute_expectation_maximization,impute_soft_imputer,impute_xgb_imputer,impute_catboost,impute_rfi,impute_autoimpute,impute_gain,impute_vae,impute_mlp
abalone,'Length',4177.0,0.446,0.0557,0.11,0.815,0.5249,0.545,0.1191,-0.6571,0.0901,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4978,0.005,AdaBoost,0.082165236569751,0.0909971199667121,0.0992500941232897,0.0994550455385895,0.0994550455385895,0.0995064833037651,0.0977987793831332,0.082165236569751,0.0992500941232897
abalone,'Length',4177.0,0.446,0.0557,0.11,0.815,0.5249,0.545,0.1191,-0.6571,0.0901,0.075,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.4978,0.005,SVC,0.1603989126184022,0.1614917607295337,0.1598708043644164,0.1604945565860967,0.1598813215548274,0.1597880673070166,0.1598377108432888,0.1645073990877487,0.1585885185742782
abalone,'Length',4177.0,0.3936,0.0521,0.11,0.815,0.5259,0.545,0.1204,-0.6607,0.1327,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.5115,0.0049,DecisionTree,0.1758610260179713,0.1795285308687075,0.174498977240969,0.1747859377552023,0.1749059493052319,0.1749059493052319,0.1749615995772558,0.1689971531261905,0.176132517549729
abalone,'Length',4177.0,0.3936,0.0521,0.11,0.815,0.5259,0.545,0.1204,-0.6607,0.1327,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.5115,0.0049,LogisticRegression,0.1816259633064895,0.1654709039368588,0.1804545160981264,0.1812534704125724,0.1811941041471504,0.1806521527516186,0.1810391721409511,0.1733142730805161,0.1776766227634005
abalone,'Length',4177.0,0.3936,0.0521,0.11,0.815,0.5259,0.545,0.1204,-0.6607,0.1327,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.5115,0.0049,KNN,0.1627357450550485,0.1651097456529707,0.1654021806478479,0.1635012751881198,0.1593231656554889,0.1577545732451096,0.1788668273351875,0.1642686587078426,0.1712574538346435
abalone,'Length',4177.0,0.3936,0.0521,0.11,0.815,0.5259,0.545,0.1204,-0.6607,0.1327,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.5115,0.0049,RandomForest,0.1784961580242318,0.1785738247317731,0.1754739425711299,0.1742618198615163,0.1746591754798751,0.1747997125119466,0.1776797291157162,0.178374018447698,0.1752444164145914
abalone,'Length',4177.0,0.3936,0.0521,0.11,0.815,0.5259,0.545,0.1204,-0.6607,0.1327,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.5115,0.0049,AdaBoost,0.0952443043193692,0.0932613399815087,0.0882901415270591,0.0882901415270591,0.0882901415270591,0.0882901415270591,0.0882901415270591,0.0949465308914019,0.0882901415270591
abalone,'Length',4177.0,0.3936,0.0521,0.11,0.815,0.5259,0.545,0.1204,-0.6607,0.1327,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.5115,0.0049,SVC,0.1779829611214248,0.1687559067730291,0.1641208863588201,0.1643025238017138,0.1647112918297376,0.1640083731274134,0.1659059808948517,0.172032906769319,0.1645726153751643
abalone,'Length',4177.0,0.3574,0.0488,0.13,0.815,0.5216,0.54,0.1201,-0.5988,0.0073,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5103,0.0056,DecisionTree,0.1704994983898425,0.1799903946322914,0.1782732577061268,0.1782732577061268,0.1782732577061268,0.1804258731659532,0.1725461627950465,0.1749832387145483,0.1803016731993638
abalone,'Length',4177.0,0.3574,0.0488,0.13,0.815,0.5216,0.54,0.1201,-0.5988,0.0073,0.08,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.5103,0.0056,LogisticRegression,0.1868897724410019,0.1629787252168073,0.1794499687390933,0.1793082209008396,0.1792974083996236,0.1805406645732226,0.1799309769386577,0.1880812485547401,0.1815508578357423
